,stop_id,stop_name,type,in_lines,location,identifier,stop_id_1960,stop_description
236,237,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,70,0,Q65546661,237,Buschallee
237,238,Buschkrug,strassenbahn,47,"52.452470895695484, 13.450748195174354",nan,238,Buschkrug
238,239,Buschkrug Alle Ecke Blaschko-Allee,bus,A73,,,,
239,240,"Bölschestrasse, Brauerei",strassenbahn,87,,,,
240,241,Bötzowbahn,bus,A63,,,,
241,242,Bühler Weg,bus,A52,,,,
242,243,Bülowstr.,u-bahn,A I,"52.497552777778,13.363419444444",Q374881,239,Bülowstraße metro station
243,244,Bürgerwäldchen,strassenbahn,83,,,,
244,245,Bürknersfelde,bus,"A43,O37",,,,
245,246,Canovastrasse,bus,AS2,"52.46306323889937, 13.342852729949465",nan,241,Canovastrasse Ecke Thorwaldsenstrasse
246,247,Canovastrasse (Krankenhaus),strassenbahn,66,"52.4631967931949, 13.344688692199414",nan,242,Canovastrasse (Krankenhaus)
247,248,Carl-Schurz-Strasse Ecke Neundorfer Strasse,bus,A13,,,,
248,249,Carl-von-Ossietzky-Werk,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,,,
249,250,Cauerstrasse,bus,AS1,"52.51470519737728, 13.315222708879112",nan,244,Cauerstrasse Ecke Otto-Suhr-Allee
250,251,Cauerstrasse,strassenbahn,55,"52.514690629578695, 13.315200881022642",nan,245,Cauerstrasse
251,252,Ceciliengärten,strassenbahn,66,,,,
252,253,Charlottenburg,s-bahn,"KBS 101,KBS 102","52.504722222222,13.303333333333",Q111326217,247,S-Bahnhof Berlin Charlottenburg
253,254,Charlottenstrasse,strassenbahn,72,,,,
254,255,Chemische Fabrik,strassenbahn,86,"52.42696432509712, 13.573540465650169",nan,250,Chemische Fabrik
255,256,Chemnitzer Ecke Ulmenstrasse,bus,"A8,A8E","52.48730504728054, 13.5749460378103",nan,251,Chemnitzer Ecke Ulmenstrasse
256,257,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,A27,,,,
257,258,Clayallee,bus,A1,"52.46042333572993, 13.274946148765821",nan,254,Clayallee Ecke Königin-Luise-Strasse
258,259,Clayallee Ecke Berliner Strasse,bus,A66,,,,
259,260,Clayallee Ecke Königin-Luise-Strasse,bus,A68,,,,
260,261,Clayallee/Teltower Damm,bus,AS3,"52.4350547405869, 13.260361762838802",nan,255,Clayallee/Teltower Damm
261,262,Colomierstrasse,bus,A51,"52.42928675585897, 13.164090298875724",nan,256,Colomierstrasse Ecke Am Großen Wannsee
262,263,Columbiadamm,bus,A24,"52.48398171737193, 13.394418749054523",nan,257,Columbiadamm Ecke Friesenstrasse
263,264,Corrensplatz,bus,A11,"52.446014012041694, 13.284264679815902",nan,258,Corrensplatz
264,265,Cunostrasse,bus,A50,"52.485632143913, 13.296298367587678",nan,259,Cunostrasse Ecke Hohenzollerndamm
265,266,Cyclopstrasse,bus,A12,"52.60208376924525, 13.32483857919441",nan,260,Cyclopstrasse & Hermsdorfer Strasse
266,267,Dachdeckerweg Ecke Buckower Damm,strassenbahn,27,,,,
267,268,Dahlem-Dorf,u-bahn,"A II,B II","52.456944444444,13.289444444444",Q668585,263,Dahlem-Dorf
268,269,Dahlemer Weg,bus,"A10,A48,A53","52.44179805042347, 13.282699371472702",nan,264,Dahlemer Weg Ecke Berliner Strasse
269,270,Dahlewitz,s-bahn,KBS 105,"52.326389,13.419722",Q5208886,265,Dahlewitz railway station
270,271,Daimlerstrasse,bus,A77,,,,
271,272,Daimlerstrasse,strassenbahn,15,"52.423949959899865, 13.380145054879522",nan,266,Daimlerstrasse
272,273,Dammweg,bus,A67,"52.47029082500845, 13.464688258814357",nan,268,Dammweg Ecke Sonnenallee
273,274,Dammweg,strassenbahn,15,"52.47070358256429, 13.46392233215299",nan,269,Dammweg
274,275,Dammweg Ecke Sonnenallee,strassenbahn,95,,,,
275,276,Dankmarsteig,bus,A23,"52.412460454887416, 13.528705230313825",nan,270,Dankmarsteig Ecke Schönefelder Chaussee
276,277,Daumstrasse,bus,A13,"52.540609965802126, 13.232264733228831",nan,271,Daumstrasse
277,278,Degnerstrasse,strassenbahn,"64,63","52.54488036635163, 13.493949954029993",nan,272,Degnerstrasse
278,279,Demminer Strasse Ecke Brunnenstrasse,bus,A64,,,,
279,280,Detmolder Strasse,bus,A1,"52.478864734081434, 13.320330304177688",nan,273,Detmolder Strasse Ecke Blissestrasse
280,281,Deutsche Oper (Bismarckstr.),u-bahn,"A III,A I",,,,
281,282,Deutsches Oper (Bismarckstr.),u-bahn,B I,,,,
282,283,"Diepensee, Flughafen",bus,AD/36,"52.362110314401846, 13.548585893916993",nan,275,"Diepensee, Flughafen"
283,284,Dimitroffstr.,u-bahn,A,"52.541666666667,13.412222222222",Q571382,276,Eberswalder Straße metro station
284,285,Dimitroffstrasse,bus,A9,"52.52644944679887, 13.447574773361476",nan,277,Dimitroffstrasse Ecke Landsberger Allee
285,286,Dimitroffstrasse,strassenbahn,"64,63,72,74E,71,74","52.5264303512303, 13.447596791543624 +  52.53918901477695, 13.42424530247013 +  52.53617065447549, 13.433035147691381",nan+ nan+ nan,278+ 10278+ 278,Dimitroffstrasse Ecke Landsberger Allee +  Dimitroffstrasse Ecke Prenzlauer Strasse +  Dimitroffstrasse Ecke Greifswalder Strasse
286,287,Dimitroffstrasse Ecke Leninallee,bus,O37,,,,
287,288,Dingelstädter Strasse,bus,O37,,,,
288,289,Dominicusstrasse,bus,"A4,A48","52.481845594274056, 13.348295976204904",nan,280,Dominicusstrasse Ecke Hauptstrasse
289,290,Dominicusstrasse,strassenbahn,"73,74","52.48182811502358, 13.348369024265194",nan,281,Dominicusstrasse Ecke Hauptstrasse
290,291,Dominicusstrasse Ecke Hauptstrasse,bus,A75,,,,
291,292,Dominikus-Krankenhaus,bus,A15,"52.626196524368744, 13.294495665499268",nan,282,Dominikus-Krankenhaus
292,293,Donnersmarckplatz,bus,"A15,A12","52.62982465046043, 13.28047497184123",nan,283,Donnersmarckplatz
293,294,"Doppel-Süd, Bechtheimer Strasse",bus,A66,,,,
294,295,Dorfaue,bus,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,,,
295,296,Drakestrasse,bus,A48,"52.445733691746746, 13.293722374035292",nan,284,Drakestrasse Ecke Unter den Eichen
296,297,Dudenstrasse,bus,A28,"52.485078406979376, 13.376567552300232",nan,286,Dudenstrasse Ecke Katzbachstrasse
297,298,Dyotzer Strasse,bus,A63,"52.541513574478394, 13.168806761501132",nan,287,Dyotzer Strasse Ecke Seegefelder Strasse
298,299,Dönhoffplatz,strassenbahn,64,,,,
299,300,Düppel-Kleinmachnow,s-bahn,KBS 104a,"52.421388888889,13.226666666667",Q44763529,288,Berlin-Düppel railway station
300,301,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,4,,,,
301,302,Ebertystrasse Ecke Leninallee,bus,O30,"52.52722237261361, 13.450799684654514",nan,289,Ebertystrasse Ecke Leninallee
302,303,Edisonstrasse,strassenbahn,95,,,,
303,304,Efeuweg,bus,A52,"52.42961975739112, 13.47788675809725",nan,291,Efeuweg Ecke Neuköllner Strasse
304,305,Egelpfuhlstrasse,bus,A31,"52.53353984351533, 13.169416926784528",nan,292,Egelpfuhlstrasse Ecke Brunsbüttler Damm
305,306,Ehrenmal,bus,"A55,A45","52.57958419912971, 13.375974716701414",nan,293,Ehrenmal
306,307,Eichbornstr.,s-bahn,KBS 105,"52.5776,13.3169",Q800500,294,Eichborndamm station
307,308,Eichbuschallee,bus,A47,"52.47574296676633, 13.487312571777435",nan,295,Eichbuschallee Ecke Neue Krugallee
308,309,Eichbuschplatz,bus,A38,"52.39366126137233, 13.582046308470128",nan,296,Eichbuschplatz
309,310,Eichendamm,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,,,
310,311,Eichkamp,bus,A69,,,,
311,312,Eichkamp,s-bahn,KBS 101,"52.4987,13.2702",Q800504,298,Berlin Messe Süd railway station
312,313,Eichwalde,s-bahn,KBS 103,"52.3715,13.6152",Q19274479,299,Eichwalde station
313,314,"Eichwalde, Uhlandstrasse",bus,Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),,,,
314,315,EinemStrasse,bus,A16,"52.500023072644105, 13.35409116646997",nan,301,EinemStrasse Ecke Nollendorfplatz
315,316,Elisabethstrasse,bus,O37,"52.53409533705918, 13.55949915809485",nan,303,Elisabethstrasse Ecke Oberfeldstrasse
316,317,Elisabethstrasse,strassenbahn,22,"52.598664,13.3726652",Q65364041,304,Elisabethstrasse
317,318,Elsenstraße Ecke Heidelberger Strasse,strassenbahn,3,,,,
318,319,Elsterplatz,bus,"A10,A50","52.47977982878401, 13.285507613099716",nan,307,Elsterplatz
319,320,Elsässer Strasse,bus,A7,,,,
320,321,Emmentaler Strasse,bus,"A71,A12","52.5675354709663, 13.351240165364471 +  52.570420696850896, 13.360956869321077",nan+ nan,308+ 10308,Emmentaler Strasse Ecke Aroser Allee +  Emmentaler Strasse Ecke Residenzstraße
321,322,Emser Platz,bus,A50,"52.492072890007414, 13.319251387534207",nan,309,Emser Platz
322,323,Endestrasse,bus,A6,"52.41965961978957, 13.160396994674473",nan,310,Endestrasse Ecke Königstrasse
323,324,Englerallee,bus,A16,"52.46177802552459, 13.304473295414123",nan,311,Englerallee
324,325,Erdener Strasse,bus,A19,"52.490558314289494, 13.276360031005654",nan,312,Erdener Strasse Ecke Königsallee
325,326,Erkner,s-bahn,KBS 102,"52.4296,13.7513",Q14434071,313,Erkner railway station
326,327,Erkstrasse,bus,A67,"52.48167227551806, 13.440052048368255",nan,314,Erkstrasse Ecke Sonnenallee
327,328,Erkstrasse Ecke Sonnenallee,strassenbahn,95,,,,
328,329,Ernst-Reuter-Platz,bus,A2,,,,
329,330,Ernst-Reuter-Platz,strassenbahn,2,,,,
330,331,Ernst-Reuter-Platz,u-bahn,"A I,B I","52.511944444444,13.322222222222",Q658361,316,Ernst-Reuter-Platz metro station
331,332,"Ernst-Reuter-Platz, Straße des 17. Juni",bus,A2,,,,
332,333,Exerzierstrasse,bus,A61,"52.553756646174705, 13.37716619556309",nan,317,Exerzierstrasse Ecke Badstrasse
333,334,Eythstrasse,bus,A74,,,,
334,335,Eythstrasse,strassenbahn,60,"52.45988973432991, 13.36224461313015",nan,318,Eythstrasse
335,336,Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,A22,"52.431470149043314, 13.718708856639706",nan,319,Fahlenbergstrasse Ecke Fürstenwalder Allee
336,337,Falkenberger Chaussee,bus,A39,"52.565816857333125, 13.511913714753",nan,321,Falkenberger Chaussee Ecke Falkenberger Chaussee
337,338,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,63,"52.55036672097044, 13.509915032138812",nan,323,Falkenbergerstrasse Ecke Wartenberger Strasse
338,339,Falkenplatz,bus,A20,"52.58490937545724, 13.227619925618022",nan,324,Falkenplatz
339,340,Falkensee,s-bahn,KBS 103,"52.559722,13.088889",Q5431918,325,Falkensee railway station
340,341,Falkenseer Chaussee,bus,A5,"52.54750354783305, 13.184668062763297",nan,326,Falkenseer Chaussee Ecke Zeppelinstrasse
341,342,Fasanenstrasse,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,,,
342,343,Fehrbelliner Platz,bus,"A74,A50","52.49040638965375, 13.314204217177087",nan,327,Fehrbelliner Platz
343,344,Fehrbelliner Platz,strassenbahn,"60,3","52.49032472677901, 13.314317300484289",nan,328,Fehrbelliner Platz
344,345,Fehrbelliner Platz,u-bahn,"A II,B II","52.490277777778,13.314444444444",Q663245,329,U-Fehrbelliner Platz
345,346,Feldtmannstrasse,bus,A46,"52.56401588379611, 13.46980857664685",nan,330,Feldtmannstrasse Ecke Berliner Allee
346,347,Feuerbachstr.,s-bahn,KBS 104,"52.463611111111,13.332777777778",Q800501,331,Berlin Feuerbachstraße station
347,348,"Fichtenau, Stadtgrenze",bus,A22,"52.45479242349705, 13.701499962608066",nan,332,"Fichtenau, Stadtgrenze"
348,349,Fichtestrasse Ecke Schopenhauerstrasse,bus,A8,"52.47979924975105, 13.617292306977053",nan,333,Fichtestrasse Ecke Schopenhauerstrasse
349,350,Finckensteinallee,strassenbahn,74,"52.43264816323959, 13.294626828766564",nan,334,Finckensteinallee
350,351,Flinsberger Platz,bus,A50,"52.483689942018465, 13.29268111645926",nan,336,Flinsberger Platz
351,352,Flughafen,bus,"A19,A24","52.470965141866394, 13.385641462324475",nan,337,Flughafen
352,353,Flughafen,u-bahn,C II,"52.485556, 13.385833",Q557582,338,Platz der Luftbrücke
353,354,Flughafen Schönefeld,bus,Flughafen Schönefeld <> Strausberger Platz,,,,
354,355,Flughafen Tempelhof,bus,"A77,A76","52.48504444099743, 13.386014416287884",nan,339,Flughafen Tempelhof
355,356,Forckenbeckstrasse,bus,A50,"52.482221394934605, 13.290044081376928",nan,341,Forckenbeckstrasse Ecke Hohenzollerndamm
356,357,Frankfurter Tor,u-bahn,E,,,,
357,358,Frankfurter Tor/Stalinallee,strassenbahn,"13,4","52.5153903,13.4540172",Q65706246,342,U Frankfurter Tor
358,359,Frauenklinik,strassenbahn,15,"52.463949908172545, 13.427509548910932",nan,345,Frauenklinik
359,360,Fredersdorf (b Bln),s-bahn,KBS 101,"52.5265,13.7625",Q15197387,346,Fredersdorf station
360,361,Freibad Grünau,strassenbahn,86,,,,
361,362,Freie Scholle,bus,A20,"52.599851537868666, 13.301736158422598",nan,347,Freie Scholle
362,363,Friedenau,s-bahn,KBS 104,"52.47,13.341",Q800471,348,Berlin-Friedenau station
363,364,Friedenstrasse,bus,A6,"52.417223782342035, 13.138950169993388",nan,349,Friedenstrasse Ecke Königstrasse
364,365,Friedhof Rudow,bus,A52,"52.42113122136662, 13.503199151482875",nan,350,Friedhof Rudow
365,366,Friedhof Ruhleben,bus,"A5,A31","52.527735865422024, 13.231788317801291",nan,351,Friedhof Ruhleben
366,367,Friedrich-Junge-Strasse,bus,A82P,"52.49382897072681, 13.471572865851856",nan,352,Friedrich-Junge-Strasse Ecke Alt-Stralau
367,368,Friedrich-Körner-Strasse Ecke Britzer Damm,strassenbahn,27,,,,
368,369,Friedrich-Wilhelm-Platz,bus,A2,"52.47128806242274, 13.328362126543809",nan,354,Friedrich-Wilhelm-Platz
369,370,Friedrich-Wilhelm-Platz,strassenbahn,"77,78","52.47132415928576, 13.328417218543715",nan,355,Friedrich-Wilhelm-Platz
370,371,Friedriche-Wilhelm-Platz,bus,A17,"52.471408713269064, 13.327952650518178",nan,356,Friedrich-Wilhelm-Platz
371,372,Friedrichsfelde (Tierpark),u-bahn,E,"52.506111111111,13.512777777778",Q429781,357,Friedrichsfelde
372,373,Friedrichsfelde Ost,s-bahn,KBS 101,"52.5141,13.5198",Q800473,358,Berlin-Friedrichsfelde Ost station
373,374,Friedrichshagen,s-bahn,KBS 102,"52.4574,13.6233",Q800474,359,Berlin-Friedrichshagen station
374,375,"Friedrichshagen, Wasserwerk",strassenbahn,84,0,Q66362601,360,Wasserwerk Friedrichshagen
375,376,Friedrichstr.,s-bahn,"KBS 106,KBS 104,KBS 101,KBS 105,KBS 103,KBS 102","52.52027777777778,13.386944444444444",Q111219456,361,S-Bahnhof Friedrichstraße
376,377,Friedrichstrasse,bus,"A57,A9",,,,
377,378,Friedrichstrasse,strassenbahn,74,"52.444196064485105, 13.354240299954318",nan,362,Friedrichstrasse Ecke Attilastrasse
378,379,Friesenstrasse,bus,A4,"52.483950604682775, 13.394359749805426",nan,363,Friesenstrasse Ecke Columbiadamm
379,380,Frohnau,s-bahn,KBS 106,"52.6325,13.2902",Q800472,365,Berlin-Frohnau station
380,381,Fuldastrasse,bus,A67,"52.483802510465225, 13.435884392882318",nan,366,Fuldastrasse Ecke Sonnenallee
381,382,Fürstenbrunner Weg,bus,AS1,"52.518378845111386, 13.280184750778325",nan,367,Fürstenbrunner Weg Ecke Spandauer Damm
382,383,Fürstenwalder Damm,strassenbahn,84,0,Q66361484,368,Fürstenwalder Damm/Müggelseedamm
383,384,Gabelung,bus,A13,"52.59988612656876, 13.25204128545515",nan,372,Gabelung
384,385,"Galenusstrasse, Krankenhaus Pankow",strassenbahn,49,,,,
385,386,Gartenfeld,s-bahn,KBS 100c,"52.54695,13.24882",Q96080469,373,Gartenfeld
386,387,"Gartenplatz, Feldstrasse",bus,A61,"52.538565896675905, 13.384005277447793",nan,375,"Gartenplatz, Feldstrasse"
387,388,Gartenstadtweg,bus,AD/36,"52.412313913821045, 13.56660267841369",nan,376,Gartenstadtweg
388,389,Gartenstrasse Ecke Bernauer Strasse,bus,A12,,,,
389,390,"Gatow, Kirche",bus,"A34,A35","52.48684680676539, 13.18215147844503",nan,377,"Gatow, Kirche"
390,391,Gatower Strasse,bus,A35,"52.489436255649245, 13.180387588417426",nan,378,Gatower Strasse Ecke Alt-Gatow
391,392,Genslerstrasse Ecke Siegfriedstrasse,bus,O37,,,,
392,393,Germaniaplatz,strassenbahn,27,,,,
393,394,Germaniastrasse,strassenbahn,"15,26","52.46053782557012, 13.418009045149528",nan,382,Germaniastrasse
394,395,Germersheimer Platz,bus,A35,"52.54433253766927, 13.187336363919895",nan,383,Germersheimer Platz
395,396,Gerosteig,bus,A23,"52.40977095398672, 13.52694351354655",nan,384,Gerosteig Ecke Schönefelder Chaussee
396,397,Gesundbrunnen,s-bahn,"KBS 100,KBS 104,KBS 105,KBS 106","52.548611111111,13.389444444444",Q111239092,385,S-Bahnhof Berlin-Gesundbrunnen
397,398,Gesundbrunnen,u-bahn,D,"52.548611,13.389444",Q3761416,386,U-Bahnhof Gesundbrunnen
398,399,Giebelsee,s-bahn,KBS 101,"52.5291,13.791",Q7178217,387,Petershagen Nord railway station
399,400,Giesendorf Strasse Ecke Ostpreußendamm,strassenbahn,96,,,,
400,401,Glasow,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,,,
401,402,Gleisdreieck,u-bahn,"A II,A I,B II,B I","52.49952,13.37409",Q678372,388,Gleisdreieck
402,403,"Glienicke, Kirche",bus,A7,"52.63062737184449, 13.312861916755343",nan,391,"Glienicke, Kirche"
403,404,Glienicker Brücke,bus,A6,"52.413474089031965, 13.091235881924467",nan,392,Glienicker Brücke
404,405,Glogauer Strasse,strassenbahn,26,"52.493437003779434, 13.43739124697587",nan,393,Glogauer Strasse
405,406,Gneisenaustr.,u-bahn,C I,"52.491388888889,13.395555555556",Q668618,394,Gneisenaustraße
406,407,Gneisenaustrasse,bus,A24,"52.491573255885584, 13.394331623371611",nan,395,Gneisenaustrasse Ecke Zossener Strasse
407,408,Goebelplatz,bus,A65,"52.53812718171093, 13.27991414794248",nan,397,Goebelplatz
408,409,Goeben-/Pallasstrasse,bus,A48,"52.49428616497335, 13.361054367554111",nan,398,Goeben-/Pallasstrasse
409,410,Goerzallee,strassenbahn,"77,78","52.421943941201924, 13.298506647186814",nan,399,Goerzallee
410,411,Goethestrasse,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,,,
411,412,Goethestrasse Ecke Lichtenrader Damm,bus,A76,,,,
412,413,Goltzstrasse,bus,AS2,"52.38667572084441, 13.407934498494095",nan,400,Goltzstrasse Ecke Bahnhofstrasse
413,414,Gorkistrasse,bus,A15,,,,
414,415,GotenStrasse,strassenbahn,2,,,,
415,416,Gottlieb-Dunkel-Strasse,bus,A25,"52.46047500564911, 13.417979057824004",nan,403,Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg
416,417,Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg,bus,A73,,,,
417,418,GotzkowskyStrasse,bus,A24,"52.52718356053599, 13.330470683683586",nan,406,GotzkowskyStrasse Ecke Turmstrasse
418,419,Gotzkowskybrücke,bus,A25,"52.52381238362036, 13.329729120795239",nan,407,Gotzkowskybrücke Ecke Alt-Moabit
419,420,Gotzkowskybrücke,strassenbahn,2,,,,
420,421,Gotzkowskystrasse Ecke Turmstrasse,strassenbahn,3,,,,
421,422,Gradestrasse Ecke Britzer Damm,strassenbahn,27,,,,
422,423,Grazer Platz,bus,A25,"52.467636991817486, 13.347565807885369",nan,411,Grazer Platz
423,424,Greifswalder Str.,s-bahn,"KBS 103a,KBS 106","52.539722222222,13.439444444444",Q439246,412,Berlin Greifswalder Straße station
424,425,Greifswalder Strasse,bus,"A44,A44E","52.53002871375482, 13.62681794411932",nan,413,Greifswalder Strasse Ecke Hönower Strasse
425,426,Greifswalder Strasse,strassenbahn,"13,4","52.5364975,13.4334045",Q65548960,414,Greifswalder Straße/Danziger Straße
426,427,Greifswalderstrasse Ecke Dimitroffstrasse,bus,O30,"52.5362177572407, 13.433017500945247",nan,415,Greifswalderstrasse Ecke Dimitroffstrasse
427,428,Grenadierstrasse,bus,"A5,A31","52.530981925368565, 13.205371761701368",nan,416,Grenadierstrasse Ecke Grunewaldstrasse
428,429,Grenzallee,u-bahn,C I,"52.463333333333,13.443888888889",Q571836,417,Grenzallee
429,430,Grenzstrasse,bus,A12,"52.541822798579034, 13.378147647725354",nan,418,Grenzstrasse Ecke Gerichtstrasse
430,431,Griebnitzsee,s-bahn,KBS 102,"52.3944,13.1272",Q315133,419,Potsdam Griebnitzsee railway station
431,432,GritznerStrasse,bus,A32,"52.464372021076116, 13.31646473581109",nan,420,GritznerStrasse Ecke Schildhornstrasse
432,433,Grottkauer Strasse,bus,A49,"52.52796238368814, 13.600805280630896",nan,426,Grottkauer Strasse Ecke Am Baltenring
433,434,Groß Ziethen,bus,AZ,,,,
434,435,Große Seestrasse Ecke Klement-Gottwald-Allee,bus,A55,,,,
435,436,Großer Stern,bus,A69,,,,
436,437,Großglienicker Weg,bus,"A34,A35",,,,
437,438,Großgörschenstr.,s-bahn,KBS 104,"52.4922745,13.3678588",Q21776726,427,Yorckstraße (Großgörschenstraße) station
438,439,Grunewald,s-bahn,KBS 102,"52.4892,13.2614",Q457266,428,Berlin-Grunewald station
439,440,Grunewaldstrasse,bus,A73,,,,
440,441,Grunewaldstrasse,strassenbahn,"77,78","52.489099571674906, 13.344928521367574",nan,429,Grunewaldstrasse
441,442,Grunewaldstrasse Ecke Martin-Luther-Strasse,strassenbahn,2,,,,
442,443,Grünau,s-bahn,"KBS 103,KBS 100a,KBS 106","52.4122,13.5746",Q111307258,430,S-Bahnhof Grünau
443,444,Grünberger Strasse,strassenbahn,4,"52.5122359,13.452609",Q65706239,431,Grünberger Straße/Warschauer Straße
444,445,Grüner Weg,bus,"A25,A52","52.42955863550208, 13.453590733350595",nan,432,Grüner Weg Ecke Johannisthaler Chaussee
445,446,Grüntaler Straße Ecke Osloer Strasse,strassenbahn,3,,,,
446,447,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,A55,,,,
447,448,Gutschmidtstrasse,bus,A25,"52.437076827846255, 13.444129425003135",nan,436,Gutschmidtstrasse
448,449,Gutschmidtstrasse Ecke Buckower Damm,strassenbahn,27,,,,
449,450,Gutshof,bus,A34,"52.47510904064348, 13.120710540203262",nan,437,Gutshof
450,451,Gutshof Marienfelde,bus,A52,"52.41088450558385, 13.373192649319066",nan,438,Gutshof Marienfelde
451,452,Görlitzer Bahnhof (Oranienstr.),u-bahn,"B II,B I","52.4992,13.428",Q597759,439,Görlitzer Bahnhof
452,453,Güntzelstrasse,bus,A60,,,,
453,454,Güteraußenring,bus,A42,,,,
454,455,Güterbahnhof Springpfuhl,bus,A43,,,,
455,456,Hackbuschstrasse,bus,A31,"52.53959956967987, 13.150244533066292",nan,442,Hackbuschstrasse Ecke Torstrasse
456,457,"Hackescher Markt, Große Präsidentenstrasse",strassenbahn,"49,63",,,,
457,458,Hafenplatz,bus,"AS1,A34,A24","52.50392083524772, 13.375479875476426 +  52.54215888169655, 13.206044861619935",nan+ nan,445+ 10445,"Hafenplatz Ecke Köthener Strasse +  Hafenplatz, Spandau"
458,459,Hafenplatz,strassenbahn,"53,75,54,76","52.542292547760184, 13.206201126048732",nan,446,Hafenplatz
459,460,Hagenplatz,bus,"A19,A17","52.483382973651, 13.265818700272884",nan,447,Hagenplatz
460,461,Hainbuchenstrasse,bus,A12,"52.63427133418521, 13.274824021447571",nan,448,Hainbuchenstrasse Ecke Maximiliankorso
461,462,Hakenfelde,strassenbahn,"53,75","52.57886009874865, 13.210057800310379",nan,449,Hakenfelde
462,463,Halensee,s-bahn,KBS 100,"52.4961,13.2906",Q800476,450,Berlin-Halensee station
463,464,Hallesches Tor,u-bahn,"B I,A II,B II,C I","52.497777777778,13.391111111111",Q658302,451,Hallesches Tor
464,465,Halskestrasse,bus,A33,"52.449975911659585, 13.34671540590703",nan,452,Halskestrasse Ecke Steglitzer Damm
465,466,Hamburger Platz,bus,"A56,A55,A45","52.555394187589414, 13.438973139463632",nan,453,Hamburger Platz
466,467,"Hamburger Strasse, Rudolf-Mosse-Platz",bus,A60,"52.475375170002664, 13.303566446005037",nan,455,"Hamburger Strasse, Rudolf-Mosse-Platz"
467,468,Hannoversche Strasse,strassenbahn,11,,,,
468,469,Hansaplatz,bus,"A25,A16","52.5179343319099, 13.342038193257153",nan,456,Hansaplatz
469,470,HardenbergStrasse,bus,"AS2,AS3","52.506181479310335, 13.332318460113605",nan,457,HardenbergStrasse Ecke Joachimsthaler Strasse
470,471,Hartmannsweiler Weg,bus,A53,"52.43871188132932, 13.248833836243495",nan,458,Hartmannsweiler Weg Ecke Fischerhüttenstrasse
471,472,Harzer Strasse,bus,A4,,,,
472,473,"Haselhorst, Kirche",bus,A10,"52.5468281751583, 13.237065889883622",nan,459,"Haselhorst, Kirche"
473,474,Hatzfeldallee,bus,A20,"52.592072752436835, 13.28604590141529",nan,461,Hatzfeldallee Ecke Budestrasse
474,475,Hauptkinderheim,bus,A5,"52.52819346807093, 13.228649269163302",nan,462,Hauptkinderheim
475,476,Hauptstrasse (Schöneberg),bus,A74,,,,
476,477,Hauptstrasse (Schöneberg),strassenbahn,"60,66",,,,
477,478,Hauptstrasse Ecke Berliner Strasse,strassenbahn,64,,,,
478,479,Hauptstrasse Ecke Berliner strasse,strassenbahn,63,,,,
479,480,Hauptstrasse Ecke Dominicusstrasse,bus,A73,,,,
480,481,Hauptstrasse Ecke Dominicusstrasse,strassenbahn,2,,,,
481,482,Hauptstrasse Ecke Edelweißstrasse,bus,"A55,A45",,,,
482,483,Hauptstrasse Ecke Karlshorster Strasse,strassenbahn,82,"52.50151144462545, 13.475233514493265",nan,466,Hauptstrasse Ecke Karlshorster Strasse
483,484,Hauptstrasse Ecke Suermondtstrasse,strassenbahn,70,,,,
484,485,Hausvogteiplatz,u-bahn,A,"52.513055555556,13.396666666667",Q656523,467,Hausvogteiplatz station
485,486,Havensteinstrasse Ecke Tautenberg Strasse,bus,A2,,,,
486,487,Heckerdamm,bus,"A21,A62","52.53962816572025, 13.295048454368684",nan,470,Heckerdamm Ecke Kurt-Schumacher-Damm
487,488,Heckmannufer,bus,A28,"52.49706082077895, 13.44923941809119",nan,471,Heckmannufer
488,489,Heerstr.,s-bahn,KBS 101,"52.5086,13.2586",Q800502,472,Berlin Heerstraße station
489,490,Heerstrasse,bus,"A34,A35,A13","52.51662457723462, 13.179022303033726 +  52.51550447615084, 13.18456806294143",nan+ nan,473+ 10473,Heerstrasse Ecke Wilhelmstrasse +  Heerstrasse Ecke Gatower Strasse
490,491,Heidebergplan,bus,A31,"52.541074133887626, 13.147338727333166",nan,474,Heidebergplan
491,492,Heidelberger Platz,u-bahn,"A II,B II","52.479808333333,13.313236111111",Q21777872,475,Heidelberger Platz
