,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,1982: Seite 88 fehlt,bus,{'69'},,,,
1,Aalemannufer,bus,{'97'},,,,
2,Adalbertstrasse,bus,"{'28', '41', '29'}",,,,
3,Adamstrasse,bus,"{'31', '34', '97'}","52.521029117218866, 13.19780699419913+52.52107002529741, 13.187973386740664",nan,"['97', '34']+ ['13', '35']+ {'97', '34'}+ {'13', '35'}+ {'97', '34'}+ {'13', '35'}",
4,Adenauer Platz,u-bahn,{'7'},"50.991325,7.130507",Q22692648,{'7'}+ {'7'},
5,Adlershof,s-bahn,"{'141', '115', '140', '110'}","52.434722222222,13.541388888889",Q323551,"['KBS 141', 'KBS 140', 'KBS 115', 'KBS 110']+ {'141', '115', '140', '110'}+ {'141', '110', '140', '115'}",
6,Adolf-Martens-Strasse,bus,"{'48', '11'}","52.4439303939079, 13.288858198599703",nan,['11']+ {'11'},
7,Adolf-Scheidt-Platz,bus,"{'96', '84'}",,,,
8,Afrikanische Strasse,bus,{'64'},"52.54630534791768, 13.343982606132034",nan,"{'89', '65'}+ {'89', '65'}",
9,Afrikanische Strasse,u-bahn,{'6'},"52.560027777778,13.334633333333",Q559239,{'6'}+ {'6'},
10,Ahlener Weg,bus,{'96'},,,,
11,Ahrendsfelde,strassenbahn,"{'14', '18', '12', '18E'}",,,,
12,Ahrensdorfer Strasse,bus,{'11'},"52.40904426274492, 13.359316733496573",nan,{'52'}+ {'52'},
13,Ahrensfelde,s-bahn,{'102'},,,,
14,Ahrensfelde,strassenbahn,{'110'},,,,
15,Albert-Norden-Strasse,bus,{'115'},,,,
16,Albertinenstrasse,strassenbahn,"{'28', '24'}","52.5497016,13.457371",Q65548844,"{'28', '24'}",
17,Albertstrasse,bus,"{'48', '4'}","52.4844490887776, 13.352821218973295",nan,['48']+ {'48'}+ {'48'},
18,Alboinstrasse,bus,"{'25', '73', '68', '74'}",,,,
19,Albrechtstrasse,bus,"{'96', '84', '68', '33'}",,,,
20,Alexanderplatz,bus,{'9'},"52.5219449,13.4143847",nan,"['78', '9', '78E', '112']+ {'78', '9', '78E'}+ {'78E', '9', '78'}",
21,Alexanderplatz,s-bahn,"{'100', '102', '115', '101', '110'}",,,,
22,Alexanderplatz,u-bahn,"{'E', 'A'}","52.5214,13.4119",Q17173458,"['E', 'A']+ {'A', 'E'}+ {'E', 'A'}",
23,Alexandrinenstrasse,bus,"{'41', '29'}","52.50514667360263, 13.4052810548807",nan,"['41', '29']+ {'41', '29'}+ {'41'}",
24,Allee der Kosmonauten,strassenbahn,"{'16', '117'}",,,,
25,Allee der Kosmonauten Ecke Rhinstrasse,strassenbahn,"{'17', '19'}",,,,
26,Almazeile,bus,{'20'},,,,
27,Almutstrasse,bus,{'12'},,,,
28,Alt-Buckow,bus,{'91'},"52.42367373113363, 13.436635183302798",nan,{'91'}+ {'91'},
29,Alt-Heiligensee,bus,"{'13', '14', '27'}",,,,
30,Alt-Lankwitz,bus,"{'81', '84', '96'}",,,,
31,Alt-Lichtenrade,bus,"{'79', '82', '78', '30'}",,,,
32,Alt-Lübars,bus,{'20'},,,,
33,Alt-Mahlsdorf,strassenbahn,{'83'},"52.5051992,13.6133347",Q66364530,['83']+ {'83'}+ {'83'},
34,Alt-Mariendorf,u-bahn,{'6'},"52.4391,13.3877",Q262168,['6']+ {'6'}+ {'6'},
35,Alt-Marienfelde,bus,{'79'},"52.413385082183694, 13.36338063003787",nan,"['11', '52']+ {'52', '11'}+ {'11', '79'}",
36,Alt-Marzahn,bus,{'80'},"52.54208620315265, 13.563823392369315",nan,"['92', '54']+ {'54', '92'}+ {'99', '92', '91', '54', '95'}",
37,Alt-Marzahn,strassenbahn,"{'5', '18E', '10', '18', '11', '110', '117'}",,,,
38,Alt-Moabit,bus,"{'1', '24', '90'}",,,,
39,Alt-Müggelheim,bus,{'115'},"52.41018331064196, 13.665897531850348",nan,['27']+ {'27'}+ {'27'},
40,Alt-Pichelsdorf,bus,{'94'},,,,
41,Alt-Reinickendorf,bus,"{'22', '8'}",,,,
42,Alt-Schmöckwitz,strassenbahn,"{'124', '86'}",,,,
43,Alt-Tempelhof,u-bahn,{'6'},"52.465952777778,13.385897222222",Q559212,['6']+ {'6'}+ {'6'},
44,Alt-Wittenau,bus,"{'15', '26', '21', '64', '14', '22', '62'}",,,,
45,Alt-Wittenau/roedernallee,bus,{'12'},,,,
46,Alte Alllee,bus,{'69'},,,,
47,Alte Jakobstrasse,bus,"{'41', '29'}","52.49899774675935, 13.395604260127172+52.50024681363398, 13.397084577841763+52.506142489130255, 13.401714081179867+52.50615421281323, 13.401681660371056",nan,"['95']+ ['41', '29']+ {'95'}+ {'41', '29'}+ {'41'}",
48,Alte-Jakobstrasse,bus,{'95'},,,,
49,Altglienicke,s-bahn,"{'115', '140'}","52.4073,13.5588",Q4736651,"['KBS 140', 'KBS 115']+ {'115', '140'}+ {'140', '115'}",
50,"Altglienicke, Kirche",bus,{'23'},"52.421845729296805, 13.539407702079252",nan,['23']+ {'23'}+ {'23'},
51,"Altglienicke, Kirche",strassenbahn,"{'84', '114'}",,,,
52,Altmarkstrasse,bus,"{'68', '76'}",,,,
53,Altstadt Spandau,u-bahn,{'7'},,,,
54,Altstädter Ring,bus,{'63'},,,,
55,Am Birkenhügel,bus,{'18'},,,,
56,Am Birkenknick,bus,{'10'},,,,
57,Am Bogen,bus,{'92'},,,,
58,Am Brachfeldwinkel,bus,{'20'},,,,
59,Am Brandpfuhl,bus,{'93'},,,,
60,Am Dachsbau,bus,{'13'},,,,
61,Am Dianaplatz,bus,{'20'},,,,
62,Am Eichenquast,bus,{'91'},"52.41781715081436, 13.449467038795506",nan,{'91'}+ {'91'},
63,Am Falkenberg,strassenbahn,"{'84', '114'}",,,,
64,Am Faulen See,strassenbahn,{'70'},"52.5505971,13.4947298",Q66123506,{'70'}+ {'70'},
65,Am Fischtal,bus,{'3'},,,,
66,Am Fließ,bus,{'15'},,,,
67,Am Friedrichshain,bus,{'9'},"52.52873150888438, 13.424352760138131",nan,"['9', '32', '57', '40']+ {'57', '9', '40', '32'}+ {'40', '32', '57/E', '9'}",
68,Am Friedrichshain,strassenbahn,{'113'},,,,
69,Am Graben,bus,"{'36', '34', '35'}",,,,
70,Am Großen Wannsee,bus,"{'3', '66', '18', '6'}",,,,
71,Am Hegewinkel,bus,{'11'},,,,
72,Am Heidefriedhof,bus,"{'81', '93', '77'}","52.43998235203173, 13.393010546456246",nan,['81']+ {'81'},
73,Am Hügel,bus,{'14'},,,,
74,Am Kesselpfuhl,bus,{'14'},,,,
75,Am Kiesteich,bus,"{'5', '92'}",,,,
76,Am Kleinen Wannsee,bus,{'66'},"52.42038822283073, 13.166405542911209",nan,{'6'},
77,Am Kupfergraben,strassenbahn,"{'71', '70', '121', '46', '22'}",,,,
78,Am Nordgraben,bus,"{'15', '26', '21', '64', '14', '62'}",,,,
79,Am Nordhafen,bus,{'90'},"52.53868315849872, 13.363248409190426",nan,"['70']+ {'90', '83', '70'}+ {'70', '90'}",
80,Am Oberhafen,bus,{'41'},,,,
