stop_order,stop_id,line_id,distance_meters
0,19560_unified,19561_unified,860.650574025092
1,19561_unified,19561_unified,575.6224671060139
2,19562_unified,19561_unified,454.9764158286242
3,19563_unified,19561_unified,1001.7324480566352
4,19564_unified,19561_unified,556.5365731740116
5,19565_unified,19561_unified,553.8962797794475
6,19566_unified,19561_unified,379.3261708831901
7,19567_unified,19561_unified,1017.6326019610724
8,19568_unified,19561_unified,616.0777014132343
9,19569_unified,19561_unified,436.60953777503914
10,195610_unified,19561_unified,560.2089330904453
11,195611_unified,19561_unified,
0,195612_unified,19562_unified,1247.4806133850066
1,195613_unified,19562_unified,1183.5388763299484
2,195614_unified,19562_unified,1392.3607910678186
3,195615_unified,19562_unified,1507.6760120132417
4,195616_unified,19562_unified,1095.504672891507
5,195617_unified,19562_unified,701.1187770883037
6,195618_unified,19562_unified,923.0637580533673
7,195619_unified,19562_unified,948.0358525383363
8,195620_unified,19562_unified,1718.849692534736
9,195621_unified,19562_unified,1673.1925645396004
10,195622_unified,19562_unified,1306.2231324935312
11,195623_unified,19562_unified,655.4828625137701
12,195624_unified,19562_unified,1661.1385252375037
13,195625_unified,19562_unified,571.1640596549967
14,195626_unified,19562_unified,
0,195627_unified,19563_unified,1062.1265668923131
1,195628_unified,19563_unified,1201.1477288951864
2,195629_unified,19563_unified,930.76484239296
3,195630_unified,19563_unified,266.94544470619206
4,195631_unified,19563_unified,1213.791597638984
5,195632_unified,19563_unified,738.468172854766
6,195633_unified,19563_unified,391.55344249652
7,195634_unified,19563_unified,1850.7808589124793
8,195635_unified,19563_unified,1006.0851891242353
9,195636_unified,19563_unified,1487.9919187170071
10,195637_unified,19563_unified,1134.137972129098
11,195638_unified,19563_unified,734.5788192004492
12,195639_unified,19563_unified,
0,195640_unified,19564_unified,1166.2388259351706
1,195641_unified,19564_unified,928.6207628021991
2,195642_unified,19564_unified,464.0657604549637
3,195643_unified,19564_unified,1832.4555563038914
4,195644_unified,19564_unified,1537.3924517264536
5,195645_unified,19564_unified,955.1140117057815
6,195646_unified,19564_unified,1176.2770513881874
7,195647_unified,19564_unified,1180.8610412356286
8,195648_unified,19564_unified,744.9201006515466
