,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Adamstrasse Ecke Wilhelmstrasse,bus,['A13'],"52.5210974258045, 13.187990320264987",nan,['A13'],nan
1,Adlershof,s-bahn,"['KBS 100a', 'KBS 103']","52.434722222222,13.541388888889",Q323551,"['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a",nan+ Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station
2,"Adlershof, Oppenbrücke (Benzolwerk)",strassenbahn,['84'],,,,
3,"Ahrensfelde, Lindenbergerstrasse (Kirche)",bus,['A39'],,,,
4,Alboinstrasse Ecke Schönebergerstrasse,strassenbahn,['6'],"52.4698434808757, 13.372061552266187",nan,['6'],nan
5,Albrechtshof,s-bahn,['KBS 103'],"52.5494,13.1283",Q800470,['KBS 103']+ KBS 103+ KBS 103+ KBS 103,nan+ Berlin Albrechtshof station+ Berlin Albrechtshof station+ Berlin Albrechtshof station
6,Alexanderplatz,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']","52.521388888889,13.411944444444",Q111324700,"['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 103,KBS 102+ KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",nan+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz
7,Alexanderplatz,strassenbahn,['1'],,,,
8,Alexanderplatz,u-bahn,"['A I', 'D', 'E']","52.5214,13.4119",Q17173458,"['D', 'E', 'A I']+ E,D,A I,A II+ A,E+ A,E",nan+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station
9,"Alexanderplatz, Grunerstrasse",strassenbahn,"['73', '71', '72']","52.52008326268696, 13.41408418961877",nan,"['74', '22', '71', '72']+ 82,74,74E,72,71+ 71+ 71","nan+ Alexanderplatz, Grunerstrasse+ Alexanderplatz, Grunerstrasse+ Alexanderplatz, Grunerstrasse"
10,"Alexanderplatz, Grunestrasse",strassenbahn,['64'],"52.52008326268696, 13.41408418961877",nan,['64']+ 64,"nan+ Alexanderplatz, Grunerstrasse"
11,"Alexanderplatz, Neue Königsstrasse",strassenbahn,"['69', '65']",,,,
12,"Alt-Blankenburg, Kirche",bus,['A42'],,,,
13,"Alt-Buch, Kirche",bus,['A42'],,,,
14,"Alt-Glienicke, Am Falkenberg",strassenbahn,['84'],,,,
15,"Alt-Karow, Kirche",bus,['A42'],,,,
16,"Alt-Kladow, Kladow",bus,['A34'],,,,
17,Alt-Kladow/Postamt,bus,['A6'],,,,
18,Alt-Mariendorf Ecke Mariendorfer Damm,strassenbahn,['99'],,,,
19,"Alt-Marzahn, Kirche",bus,['A37'],"52.542423454435976, 13.564061751343658",nan,"['A37', 'O37']+ O37+ O37+ O37","nan+ Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche"
